[2026-07-06 23:50:15] Target: C:\5ddee7b0b73c09d07f96460afbf9db91
[2026-07-06 23:50:15] Verified Tencent Video cache. Files=1082, Size=5.89 GB
[2026-07-06 23:50:15] C free before: 108.04 GB
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\180.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\180.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\181.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\181.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\182.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\182.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\183.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\183.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\184.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\184.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\185.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\185.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\186.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\186.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\187.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\187.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\188.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\188.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\189.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_180_209\189.ts”正由另一进程使用，因此该进程无法访问此文件。
